task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
8	80/cc7121	51087	map_16s_ivt (map fastq to get sam file)	COMPLETED	0	2022-12-17 09:49:04.978	295ms	41ms	51.1%	0	0	115.4 KB	31.6 KB
2	dc/7754e6	51093	map_23s_native (map fastq to get sam file)	COMPLETED	0	2022-12-17 09:49:05.003	326ms	85ms	30.4%	3.9 MB	21.9 MB	123.3 KB	40.1 KB
12	36/372eb1	51099	map_23s_ivt (map fastq to get sam file)	COMPLETED	0	2022-12-17 09:49:05.013	324ms	82ms	34.6%	3.9 MB	22 MB	110.3 KB	26.2 KB
9	80/ebffae	51119	map_23s_ivt (map fastq to get sam file)	COMPLETED	0	2022-12-17 09:49:05.022	321ms	82ms	28.7%	3.7 MB	22 MB	116.8 KB	33.3 KB
5	32/c682bb	51134	map_16s_native (map fastq to get sam file)	COMPLETED	0	2022-12-17 09:49:05.031	316ms	41ms	64.7%	0	0	143.3 KB	57.7 KB
11	9f/c2e922	51162	map_23s_native (map fastq to get sam file)	COMPLETED	0	2022-12-17 09:49:05.038	314ms	76ms	45.8%	5 MB	406.8 MB	121.4 KB	38.3 KB
10	bd/97df08	51189	map_16s_ivt (map fastq to get sam file)	COMPLETED	0	2022-12-17 09:49:05.046	327ms	31ms	91.4%	0	0	108.9 KB	24.8 KB
1	04/43be13	51213	map_16s_native (map fastq to get sam file)	COMPLETED	0	2022-12-17 09:49:05.053	327ms	21ms	62.6%	0	0	121.9 KB	38.9 KB
4	6a/8ec1d7	51232	map_16s_ivt (map fastq to get sam file)	COMPLETED	0	2022-12-17 09:49:05.058	327ms	20ms	93.3%	0	0	126.3 KB	42.3 KB
7	ca/8a4218	51250	map_23s_native (map fastq to get sam file)	COMPLETED	0	2022-12-17 09:49:05.062	338ms	62ms	68.3%	3 MB	12.2 MB	144.7 KB	65.4 KB
3	5c/11311c	51273	map_23s_ivt (map fastq to get sam file)	COMPLETED	0	2022-12-17 09:49:05.067	336ms	56ms	58.6%	2.8 MB	12.2 MB	127.6 KB	44 KB
6	04/3a95e1	51311	map_16s_native (map fastq to get sam file)	COMPLETED	0	2022-12-17 09:49:05.071	338ms	11ms	142.4%	0	0	120.1 KB	35.9 KB
13	5f/6ebdbd	52466	flagstat_16s_ivt (mapping stats with samtools flagstat)	COMPLETED	0	2022-12-17 09:49:05.314	248ms	32ms	66.1%	0	0	123.1 KB	1.3 KB
14	3f/10e4e5	52504	extract_16s_ivt (extract mapped reads from sam files into fastq)	COMPLETED	0	2022-12-17 09:49:05.340	226ms	63ms	26.7%	2.9 MB	12.2 MB	117.7 KB	8.9 KB
21	55/8ce2c0	52612	flagstat_23s_ivt (mapping stats with samtools flagstat)	COMPLETED	0	2022-12-17 09:49:05.385	188ms	8ms	150.0%	0	0	117.7 KB	1.3 KB
17	9d/20bef5	52772	flagstat_23s_native (mapping stats with samtools flagstat)	COMPLETED	0	2022-12-17 09:49:05.416	201ms	21ms	94.9%	0	0	131.6 KB	1.3 KB
23	c7/52d6b1	52817	flagstat_23s_ivt (mapping stats with samtools flagstat)	COMPLETED	0	2022-12-17 09:49:05.423	204ms	10ms	85.5%	0	0	124.8 KB	1.3 KB
27	18/8ba50c	52864	flagstat_16s_native (mapping stats with samtools flagstat)	COMPLETED	0	2022-12-17 09:49:05.429	208ms	7ms	152.7%	0	0	149.2 KB	1.3 KB
30	9e/dd7b2d	52954	flagstat_23s_native (mapping stats with samtools flagstat)	COMPLETED	0	2022-12-17 09:49:05.437	203ms	7ms	105.7%	0	0	129.8 KB	1.3 KB
31	3c/170285	53269	flagstat_16s_ivt (mapping stats with samtools flagstat)	COMPLETED	0	2022-12-17 09:49:05.472	170ms	12ms	83.0%	0	0	116.3 KB	1.3 KB
15	7d/572437	52461	bam_16s_ivt (convert sam to bam)	COMPLETED	0	2022-12-17 09:49:05.304	364ms	160ms	23.2%	6.4 MB	932.9 MB	144.5 KB	31.7 KB
20	42/3684aa	52559	bam_23s_ivt (convert sam to bam)	COMPLETED	0	2022-12-17 09:49:05.358	315ms	117ms	23.8%	6.2 MB	932.9 MB	136.6 KB	26.7 KB
19	20/8c3d8c	52586	extract_23s_ivt (extract mapped reads from sam files into fastq)	COMPLETED	0	2022-12-17 09:49:05.376	303ms	97ms	18.8%	4.3 MB	27.7 MB	112.4 KB	12.9 KB
34	9f/faf9b6	53627	flagstat_16s_native (mapping stats with samtools flagstat)	COMPLETED	0	2022-12-17 09:49:05.498	186ms	9ms	86.8%	0	0	130.3 KB	1.3 KB
37	b4/e5ce72	53973	flagstat_16s_ivt (mapping stats with samtools flagstat)	COMPLETED	0	2022-12-17 09:49:05.522	204ms	10ms	129.2%	0	0	133.7 KB	1.3 KB
42	a7/f8796c	54254	flagstat_23s_native (mapping stats with samtools flagstat)	COMPLETED	0	2022-12-17 09:49:05.542	188ms	23ms	56.6%	0	0	156.9 KB	1.3 KB
43	88/036d4a	54295	flagstat_23s_ivt (mapping stats with samtools flagstat)	COMPLETED	0	2022-12-17 09:49:05.545	189ms	18ms	62.9%	0	0	135.5 KB	1.3 KB
24	8b/da3aa1	52795	extract_23s_ivt (extract mapped reads from sam files into fastq)	COMPLETED	0	2022-12-17 09:49:05.420	391ms	152ms	18.4%	4.2 MB	27.7 MB	119.4 KB	17.8 KB
22	2e/6538ed	52743	bam_23s_ivt (convert sam to bam)	COMPLETED	0	2022-12-17 09:49:05.412	407ms	162ms	17.5%	6.6 MB	932.9 MB	147.1 KB	33.4 KB
26	84/485293	52837	bam_16s_native (convert sam to bam)	COMPLETED	0	2022-12-17 09:49:05.426	397ms	126ms	22.1%	6.3 MB	932.9 MB	182.6 KB	55.5 KB
25	3b/d6c75e	52904	extract_16s_native (extract mapped reads from sam files into fastq)	COMPLETED	0	2022-12-17 09:49:05.433	403ms	124ms	22.1%	4.4 MB	27.7 MB	143.9 KB	5 KB
28	62/008a2e	52992	extract_23s_native (extract mapped reads from sam files into fastq)	COMPLETED	0	2022-12-17 09:49:05.441	399ms	201ms	14.5%	4.4 MB	27.7 MB	124.5 KB	21.5 KB
29	ac/eec74e	53254	bam_23s_native (convert sam to bam)	COMPLETED	0	2022-12-17 09:49:05.443	401ms	198ms	14.5%	2.9 MB	12.2 MB	154.7 KB	38.6 KB
33	53/c2754c	53348	bam_16s_ivt (convert sam to bam)	COMPLETED	0	2022-12-17 09:49:05.479	368ms	184ms	15.7%	6.3 MB	932.9 MB	134.4 KB	25.2 KB
32	4b/b96e8f	53404	extract_16s_ivt (extract mapped reads from sam files into fastq)	COMPLETED	0	2022-12-17 09:49:05.484	366ms	186ms	15.4%	4.4 MB	27.7 MB	110.9 KB	5.7 KB
35	13/9c1f30	53460	extract_16s_native (extract mapped reads from sam files into fastq)	COMPLETED	0	2022-12-17 09:49:05.488	367ms	170ms	11.4%	4.5 MB	27.7 MB	125 KB	12 KB
36	04/57f315	53552	bam_16s_native (convert sam to bam)	COMPLETED	0	2022-12-17 09:49:05.493	366ms	168ms	11.5%	6.4 MB	932.9 MB	155.5 KB	39.2 KB
39	b4/fcb315	53683	bam_16s_ivt (convert sam to bam)	COMPLETED	0	2022-12-17 09:49:05.502	363ms	154ms	18.7%	6.2 MB	932.9 MB	160.6 KB	42.5 KB
38	9f/0f3c6d	53736	extract_16s_ivt (extract mapped reads from sam files into fastq)	COMPLETED	0	2022-12-17 09:49:05.506	365ms	154ms	18.7%	4.4 MB	27.7 MB	128.4 KB	11.1 KB
41	e8/68e998	54195	bam_23s_native (convert sam to bam)	COMPLETED	0	2022-12-17 09:49:05.538	336ms	128ms	28.4%	6.6 MB	932.9 MB	194.1 KB	63 KB
47	93/1ebcc3	54467	flagstat_16s_native (mapping stats with samtools flagstat)	COMPLETED	0	2022-12-17 09:49:05.559	317ms	8ms	131.2%	0	0	127.4 KB	1.3 KB
48	11/a7103e	54527	extract_16s_native (extract mapped reads from sam files into fastq)	COMPLETED	0	2022-12-17 09:49:05.563	320ms	8ms	98.2%	0	0	122 KB	6.5 KB
50	e0/fdedd5	55049	ivtreadidextract_16s (extract mapped read ids from fastqs to text file)	COMPLETED	0	2022-12-17 09:49:05.610	275ms	83ms	43.3%	2.9 MB	12.2 MB	107.6 KB	5 KB
18	56/be6037	52672	extract_23s_native (extract mapped reads from sam files into fastq)	COMPLETED	0	2022-12-17 09:49:05.398	515ms	175ms	10.9%	4.6 MB	27.7 MB	126.2 KB	18.5 KB
16	95/82f389	52714	bam_23s_native (convert sam to bam)	COMPLETED	0	2022-12-17 09:49:05.407	510ms	167ms	22.6%	6.5 MB	932.9 MB	157.4 KB	40.4 KB
40	13/534fa6	54132	extract_23s_native (extract mapped reads from sam files into fastq)	COMPLETED	0	2022-12-17 09:49:05.534	387ms	129ms	21.3%	4.5 MB	27.7 MB	151.6 KB	46.7 KB
45	9f/a7f337	54361	extract_23s_ivt (extract mapped reads from sam files into fastq)	COMPLETED	0	2022-12-17 09:49:05.550	392ms	195ms	4.9%	4.6 MB	27.7 MB	130.2 KB	22.3 KB
44	46/a9f5de	54422	bam_23s_ivt (convert sam to bam)	COMPLETED	0	2022-12-17 09:49:05.555	390ms	195ms	14.6%	6.4 MB	932.9 MB	163.3 KB	44.3 KB
46	c4/ee67c3	54610	bam_16s_native (convert sam to bam)	COMPLETED	0	2022-12-17 09:49:05.570	377ms	181ms	16.0%	6.4 MB	932.9 MB	151 KB	36 KB
49	5c/6cba10	55151	mappedbams_16s_ivt (mapped 16s IVT fastqs to sorted bam files)	COMPLETED	0	2022-12-17 09:49:05.615	335ms	161ms	30.0%	6.4 MB	932.9 MB	130 KB	22.5 KB
52	d5/7ad27f	55744	depths_16s_ivt (calculate depth info from bam)	COMPLETED	0	2022-12-17 09:49:05.678	275ms	105ms	26.0%	0	0	106.8 KB	35.1 KB
56	21/000a92	55870	depths_23s_ivt (calculate depth info from bam)	COMPLETED	0	2022-12-17 09:49:05.697	268ms	8ms	96.6%	0	0	104.2 KB	60.6 KB
58	0c/6196a1	55933	ivtreadidextract_23s (extract mapped read ids from fastqs to text file)	COMPLETED	0	2022-12-17 09:49:05.702	308ms	19ms	123.8%	0	0	113.7 KB	7.4 KB
59	ef/0f5c75	56567	ivtreadidextract_23s (extract mapped read ids from fastqs to text file)	COMPLETED	0	2022-12-17 09:49:05.821	196ms	20ms	127.3%	0	0	121.1 KB	10 KB
62	dd/abbc8f	56758	depths_23s_ivt (calculate depth info from bam)	COMPLETED	0	2022-12-17 09:49:05.848	175ms	11ms	74.7%	0	0	107.6 KB	60.7 KB
53	51/b5565c	55822	bamindex_16s_ivt (index the bam file)	COMPLETED	0	2022-12-17 09:49:05.691	376ms	174ms	10.9%	4.5 MB	27.8 MB	106.7 KB	297 B
55	3b/c92dc7	55842	bamindex_23s_ivt (index the bam file)	COMPLETED	0	2022-12-17 09:49:05.694	379ms	164ms	11.6%	4.3 MB	27.8 MB	104.2 KB	297 B
65	13/1875b9	56826	depths_16s_native (calculate depth info from bam)	COMPLETED	0	2022-12-17 09:49:05.856	221ms	14ms	42.1%	0	0	118.6 KB	35.1 KB
68	77/2d1749	56963	nativereadidextract_16s (extract mapped read ids from fastqs to text file)	COMPLETED	0	2022-12-17 09:49:05.867	216ms	27ms	104.7%	0	0	101.7 KB	2.8 KB
73	59/e763eb	57155	depths_23s_native (calculate depth info from bam)	COMPLETED	0	2022-12-17 09:49:05.883	222ms	14ms	65.5%	0	0	110.2 KB	60.4 KB
75	45/f3a184	463	depths_16s_ivt (calculate depth info from bam)	COMPLETED	0	2022-12-17 09:49:05.904	207ms	12ms	76.7%	0	0	103.5 KB	35.1 KB
70	cc/7a9c97	57050	nativereadidextract_23s (extract mapped read ids from fastqs to text file)	COMPLETED	0	2022-12-17 09:49:05.875	250ms	43ms	84.6%	0	0	126.7 KB	11.7 KB
60	27/786d65	56667	mappedbams_23s_ivt (mapped 23s IVT fastqs to sorted bam files)	COMPLETED	0	2022-12-17 09:49:05.835	305ms	130ms	28.3%	6.4 MB	932.9 MB	156.1 KB	43.7 KB
82	d7/f3ab81	719	depths_16s_native (calculate depth info from bam)	COMPLETED	0	2022-12-17 09:49:05.919	225ms	17ms	58.3%	0	0	110.5 KB	35.1 KB
